family	slug	attribution_type	rules_wordcount	attribution_verbatim
agon	standard	ABSENT	0	ABSENT
chess	carrera	ABSENT	0	ABSENT
chess	senterej	ABSENT	0	ABSENT
dou-shou-qi	standard	ABSENT	0	ABSENT
dungeon-chess	compact	ABSENT	0	ABSENT
dungeon-chess	four-player	ABSENT	0	ABSENT
dungeon-chess	two-player	ABSENT	0	ABSENT
econopoly	standard	ABSENT	0	ABSENT
fanorona	standard	ABSENT	0	ABSENT
hex	13x13	ABSENT	0	ABSENT
hex	14x14	ABSENT	0	ABSENT
hex	19x19	ABSENT	0	ABSENT
hex	9x9	ABSENT	0	ABSENT
nukes	standard	ABSENT	0	ABSENT
nyout	standard	ABSENT	0	ABSENT
royal-ur	standard	ABSENT	0	ABSENT
senet	standard	ABSENT	0	ABSENT
shogi	annan-shogi	ABSENT	0	ABSENT
shogi	chu-shogi	ABSENT	0	ABSENT
shogi	heian-shogi	ABSENT	0	ABSENT
shogi	judkins-shogi	ABSENT	0	ABSENT
shogi	yari-shogi	ABSENT	0	ABSENT
surakarta	standard	ABSENT	0	ABSENT
tafl	brandubh	ABSENT	0	ABSENT
tafl	hnefatafl	ABSENT	0	ABSENT
tafl	standard	ABSENT	0	ABSENT
tafl	tawlbwrdd	ABSENT	0	ABSENT
chess	avalanche	ABSENT	9	ABSENT
chess	birds-chess	ABSENT	9	ABSENT
chess	hostage-chess	ABSENT	9	ABSENT
chess	janus	ABSENT	9	ABSENT
chess	omega-chess	ABSENT	9	ABSENT
chess	pocket-knight	ABSENT	9	ABSENT
chess	cylindrical-chess	ABSENT	13	ABSENT
chess	kriegspiel	ABSENT	22	ABSENT
hex	y-large	ABSENT	34	ABSENT
hex	y-small	ABSENT	34	ABSENT
chess	glinski	ABSENT	61	ABSENT
hex	y-game	ABSENT	61	ABSENT
hex	standard	ABSENT	66	ABSENT
chess	byzantine-chess	ABSENT	67	ABSENT
shogi	wa-shogi	ABSENT	81	ABSENT
chess	circular-chess	ABSENT	88	ABSENT
nukes	asymmetric-powers	ABSENT	100	ABSENT
chess	anti-king-chess-2	ABSENT	127	ABSENT
nukes	siege	ABSENT	163	ABSENT
nukes	fallout	ABSENT	392	ABSENT
backgammon	acey-deucey	general	0	Acey-Deucey. US military tradition, early 20th century. Public domain. Source: Wikipedia (CC-BY-SA).
backgammon	fevga	general	0	Fevga. Traditional game, Greece. Part of the Tavli family. Public domain. Source: Wikipedia (CC-BY-SA).
backgammon	nardi	general	0	Nardi (Long Nardi). Traditional game, Caucasus and Russia. Public domain. Source: Wikipedia (CC-BY-SA).
backgammon	plakoto	general	0	Plakoto. Traditional game, Greece. Part of the Tavli family. Public domain. Source: Wikipedia (CC-BY-SA).
backgammon	standard	general	0	Standard Backgammon. Public domain rules. Source: US Backgammon Federation official rules; Wikipedia (CC-BY-SA).
